Server-Analyse (nur lesend)
Datei    : TRIN__04_matnr_bruecke.sql
Standort : TRIN (Indien)
Quelle   : SAGE
Host     : 20.197.20.60:30015
Schema   : TRAFAG_LIVE
Zeitpunkt: 2026-08-05 14:18:12
Statements: 3

=== Runde 4: Gibt es auf dem indischen Artikel die Trafag-Materialnummer? ===
SALES_TYPE | ARTIKEL | MIT_OMN | MIT_ORDERING_CODE | MIT_CUSTOMER_PN | MIT_DRAWING_NO
FFM | 1194 | 1037 | 1189 | 215 | 61
-- | 129 | 96 | 1 | 7 | 2
LRD | 123 | 121 | 119 | 72 | 11
CM | 2 | 0 | 0 | 0 | 2
NULL | 1 | 0 | 0 | 0 | 0
-- 5 Zeile(n), 538 ms

=== 2 Alle LRD-Artikel mit ihren Nummern - Grundlage fuer den Abgleich mit GroupStandardCosts ===
ARTIKEL | MATERIAL_NO | ORDERING_CODE | VENDOR | RECHNUNGSZEILEN
DM000241 | 52534 | 8783.20.1430.Y1.0000.0000.11.60.61.66.U1.01.01.01 |  | 1
DM000233 | 64137 | 8782.20.1430.Y1.0000.0000.11.60.61.66.U1.01.01.01 | V0078 | 1
PT000058 | 60008 | 8252.33.2517.32.0000.0000.13.61 |  | 1
DM000218 | 42212 | 8736.20.2310.Y1.0000.0000.08.60.61.C5.U2.01.01 | V0078 | 1
PT000060 | 39839 | 8298.74.2517.78.0000.0000.19.43.3M | V0078 | 1
PS000458 | 62697 | 9B4.4277.770.04.0000.0000.15.88 | V0078 | 1
PT000054 | 40804 | 8264.77.2518.04.0000.0000.19.41.57.58.V3 |  | 1
PS000444 | 45214 | 9B4.4278.791.04.0000.0000.11.74.88.V3.01.01 | V0078 | 1
DM000216 | 63958 | 8792.21.2802.Y1.0000.0000.05.60.61.80.95.C5.U2.01.01 | V0078 | 1
DM000215 | 63955 | 8792.21.2802.Y1.0000.0000.05.60.61.80.95.C5.U2.01.01 | V0078 | 1
DM000279 | 64622 | 8783.20.2300.Y1.0000.0000.60.61.71.1U.01.01.01 | V0078 | 1
PT000061 | 45230 | 8252.81.2517.01.0000.0000.19.34.44.61 | V0078 | 1
PT000063 | 48989 | 8380.78.5917.35.0000.0000.PA.P1.44.61.ZS |  | 1
PT000064 | 50773 | 8380.80.5917.35.0000.0000.PA.P1.44.61.ZS |  | 1
DM000239 | 63589 | 8783.20.2200.Y1.0000.0000.11.60.61.U1.01.01 | V0078 | 1
DM000221 | 63586 | 8783.20.2200.Y1.0000.0000.11.60.61.U1.01.01 | V0078 | 1
